# Table of outline rout feed speed
# Tool diameter; Packet thickness:1.50;3.00;4.50

#----------------------------------------
# Tool D | Tool type | Packet thickness | 
#		 |           |  1.5 | 3.0 | 4.5 | 
#----------------------------------------
# Materials = default
#----------------------------------------
0.60;std;      1;-;-
0.70;std;      1;2;-
0.80;std;      2;2;-
0.90;std;      2;2;-
1.00;std;      3;3;2
1.10;std;      3;3;2
1.20;std;      4;3;3
1.30;std;      4;4;3
1.40;std;      4;4;4
1.50;std;      6;6;6
1.60;std;      7;6;7
1.70;std;      9;7;7
1.80;std;      10;9;8
1.90;std;      10;9;8
2.00;std;      11;11;10
2.10;std;      10;9;9
2.40;std;      9;8;8
2.50;std;      9;8;8
2.80;std;      8;7;6
3.00;std;      8;6;6
#----------------------------------------
# Materials = AL_CORE;CU_CORE
#----------------------------------------
0.60;std;      1;-;-
0.70;std;      1;-;-
0.80;std;      1;-;-
0.90;std;      1;-;-
1.00;std;      1;-;-
1.10;std;      2;-;-
1.20;std;      2;-;-
1.30;std;      2;-;-
1.40;std;      2;-;-
1.50;std;      2;-;-
1.60;std;      3;-;-
1.70;std;      3;-;-
1.80;std;      3;-;-
1.90;std;      3;-;-
2.00;std;      3;-;-
2.10;std;      3;-;-
2.40;std;      3;-;-
2.50;std;      3;-;-
2.80;std;      3;-;-
3.00;std;      3;-;-
